jhu_id|vendor_id|db_name|status_id|url|enable_proxy|description|internal_note|popularity_score|date_created|date_updated
JHU02494|627|Funk & Wagnalls New World Encyclopedia|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=funk|0|Features over 25,000 informative segments of the encyclopedia.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02503|726|Library of Congress Online Catalog|A|http://catalog.loc.gov/|0|The Library of Congress Online Catalog is a database of books, serials, computer files, manuscripts, cartographic materials, music, sound recordings, and visual materials in the Librarys collections.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02537|778|ArticleFirst|A|https://firstsearch.oclc.org/fsip?dbname=ArticleFirst&done=referer|1|The ArticleFirst database indexes articles from the table of contents of nearly 12500 journals, along with a list of libraries holding the journal title. This database is on the FirstSearch platform.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02546|778|WorldCat (FirstSearch)|A|https://firstsearch.oclc.org/FSIP?timeout=1800&done=referer&dbname=WorldCat|1|WorldCat is the merged catalogs of thousands of libraries. Built and maintained collectively by librarians, WorldCat is continually updated and includes records for a wide variety of works including manuscripts written as early as the 11th century through books, videos and DVDs being published today. This database is on the FirstSearch platform.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02549|633|Emerald Insight|A|https://www.emerald.com/start-session?idp=urn:mace:incommon:johnshopkins.edu|0|Provides access to Emerald’s extensive output of journals, books, case studies, and bibliographic databases on a wide range of management disciplines including: strategy, leadership, library and information management, marketing and human resource management--plus a substantial number of engineering, applied science and technology titles.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02552|627|ERIC|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=eric|0|Gain immediate access to information from journals included in the Current Index of Journals in Education and Resources in Education Index with ERIC.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02560|798|Oxford English Dictionary|A|http://www.oed.com/|1|Traces the usage of words through 2.5 million quotations from a wide range of international English language sources.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02570|794|AMED Allied and Complementary Medicine Database|A|http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=main&D=amed|1|AMED is a unique bibliographic database produced by the Health Care Information Service of the British Library. It covers a selection of journals in complementary medicine, palliative care, and allied professions.|17 June 2020 - Access restriction note added.  Jenny Kusmik|0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02571|523|MathSciNet : Mathematical Reviews|A|http://www.ams.org/mathscinet/|1|MathSciNet is a comprehensive database covering the worlds mathematical literature of the past 61 years. It provides Web access to reviews and bibliographic data from Mathematical Review and Current Mathematical Publications. It provides links to original articles and free access to Featured Reviews.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02583|653|Gale in Context: Biography|A|http://go.galegroup.com/ps/dispBasicSearch.do?userGroupName=balt85423&p=BIC&xp=|1|Gale in Context: Biography combines biographies with related full-text articles from magazines and newspapers, thousands images, and links to vetted websites. Search for current or historic figures based on name, occupation, nationality, ethnicity, birth/death dates and places, or gender, as well as keyword and full text.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02611|778|ProceedingsFirst|A|https://firstsearch.oclc.org/fsip?dbname=Proceedings&done=referer|1|A database of over 19000 citations to every congress, symposium, conference, exposition, workshop and meeting received at the British Library. This database is on the FirstSearch platform.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02612|778|PapersFirst|A|https://firstsearch.oclc.org/done=referer;dbname=PapersFirst;FSIP|1|Over 580,000 papers included in every congress, conference, exposition, workshop, symposium and meeting received at the British Library. This database is on the FirstSearch platform.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02633|778|GPO Monthly Catalog|A|https://firstsearch.oclc.org/fsip?dbname=GPO&done=referer|1|GPO contains bibliographic citations to United States federal government publications from 1976 to the present. Based on the Monthly Catalog of US Government Publications, GPO contains references to books, reports, studies, serials, maps, and other publications. Topics covered include finance, business, demographics, agriculture, medicine, public health, and more. The database contains over 400,000 fully indexed bibliographic records. This database is on the FirstSearch platform.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02675|627|CINAHL|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=cin20|0|Gain access to informative health literature with CINAHL, the authoritative resource for nursing and allied health professionals, students, educators and researchers. Offering complete coverage of English-language nursing journals and publications from the National League for Nursing and the American Nurses Association, this database covers nursing, biomedicine, health sciences librarianship, consumer health and 17 allied health disciplines, and contains:    Indexing for over 1,200 nursing journals and publications dating back to 1982.  Over 250,000 records.  Abstracts for over 250 journals, including over 450 author-supplied abstracts.  Indexing for journals, books and book chapters, dissertations, selected conference proceedings, standards of practice, pamphlets, educational software packages and audiovisual material.  Internal subject thesaurus with over 7,000 terms—2,000 unique to CINAHL.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02677|627|MasterFILE Premier|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=F5H|0|This multidisciplinary database provides full text for nearly 1,700 periodicals with full-text information dating as far back as 1975. Covering virtually every subject area of general interest, MasterFILE Premier also contains full text for nearly 500 reference books and over 164,400 primary source documents, as well as an Image Collection of over 592,000 photos, maps & flags. This database is updated daily via EBSCOhost.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02713|827|History of Science, Technology, and Medicine|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=htm|0|The History of Science, Technology, and Medicine database is the definitive international bibliography for the these fields. It reflects their influence on society and culture from prehistory to the present. The database includes journal articles (nearly 9,500 journals), conference proceedings, books, book reviews and dissertations in all scientific disciplines and related fields.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02733|627|MEDLINE|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=cmedm|0|Research authoritative medical information from such fields as medicine, nursing, dentistry, veterinary medicine, the health care system, pre-clinical sciences, and much more with MEDLINE®.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02766|627|Health Source: Nursing/Academic Edition|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=hch|0|This resource provides more than 580 scholarly full text journals focusing on many medical disciplines. Coverage of nursing and allied health is particularly strong, including full text from Clinical Nursing Research, Creative Nursing, Issues in Comprehensive Pediatric Nursing, Issues in Mental Health Nursing, Journal of Advanced Nursing, Journal of Child + Adolescent Psychiatric Nursing, Journal of Clinical Nursing, Journal of Community Health Nursing, Journal of Family Nursing, Journal of Nursing Management, Journal of the Society of Pediatric Nurses, Nurse Practitioner, Nursing, Nursing Diagnosis, Nursing Ethics, Nursing Forum, Nursing Inquiry, Nursing Management, Patient Care for the Nurse Practitioner, Western Journal of Nursing Research, and many more.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02768|627|MAS Ultra School Edition|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=ulh|0|This comprehensive database, designed specifically for high school libraries, contains full text for nearly 500 popular, high school magazines including Americas Civil War, American Heritage, American History, American Visions, Archaeology, Astronomy, Bioscience, Careers + Colleges, Civil War Times Illustrated, CQ Weekly, Discover, Economist, History Today, Nation, National Review, New Republic, New Scientist, Popular Science, Science News, Scientific American, Smithsonian, World War II, etc. All full text articles are assigned a reading level indicator (Lexiles). Full text is also available for 88,000 biographies and 60,000 primary source documents. Additionally, MAS Ultra (School Edition) contains more than 540 pamphlets, nearly 150 reference books (including the Columbia Encyclopedia, the CIA World Fact Book and World Almanac + Book of Facts), an Image Collection of 91,000 photos, maps + flags, color PDF and expanded full text backfiles (back to 1975) for key magazines.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02771|627|Primary Search|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=prh|0|Primary Search contains full text for more than 50 popular, elementary school magazines. All full text articles are assigned a reading level indicator (Lexiles). Full text is also available for over 100 student pamphlets. Additionally, Primary Search includes the Encyclopedia of Animals, and features the Funk + Wagnalls New Encyclopedia, which provides students with easy-to-read encyclopedic entries written specifically for kids. This database also provides the American Heritage Childrens Dictionary, 3rd Edition from Houghton Mifflin, and an Image Collection of 91,000 photos, maps and flags.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02803|634|Encyclopaedia Britannica Online|A|https://academic.eb.com|1|Since the Encyclopædia Britannicas founding in 1768, Britannica editors have gathered and organized information on thousands of topics for easy retrieval.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02806|627|Military & Government Collection|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=mth|0|Designed to offer current news pertaining to all branches of the military and government, this database offers a thorough collection of periodicals, academic journals, and other content pertinent to the increasing needs of those sites. The Military & Government Collection provides cover-to-cover full text for nearly 300 journals and periodicals and indexing and abstracts for nearly 400 titles.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02811|627|Health Source - Consumer Edition|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=hxh|0|This database has the full text of about 80 consumer health magazines, such as American Fitness, Better Nutrition, Fit Pregnancy, Harvard Health Letter, Mens Health, Prevention, and Vegetarian Times. You can also search the full text of about 1,000 health-related pamphlets and more than 130 health reference books.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02881||Cogprints|A|http://cogprints.org/|1|CogPrints is a free, full-text e-print archive of published, peer-reviewed journal postprints plus prepublication unrefereed preprints in the cognitive sciences, covering psychology, behavioral biology, computer science, linguistics, philosophy and related disciplines.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02891|532|Annual Reviews|A|http://arjournals.annualreviews.org/search/advanced|1|Since 1932, Annual Reviews has offered comprehensive, timely collections of critical reviews written by leading scientists. Annual Review volumes are published each year for 29 focused disciplines within the Biomedical, Physical, and Social Sciences.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02894|912|Cochrane Library|A|https://www.cochranelibrary.com/|1|Cochrane Library is a collection of six databases that contain different types of high-quality, independent evidence to inform healthcare decision-making, and a seventh database that provides information about groups in the Cochrane Collaboration. The databases are Cochrane Database of Systematic Reviews, Cochrane Central Register of Controlled Trials, Cochrane Methodology Register, Database of Abstracts of Reviews of Effects, Health Technology Assessment Database, NHS Economic Evaluation Database, and About The Cochrane Collaboration.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02895|525|American Meteorological Society Journals|A|http://journals.ametsoc.org/|1|Provides full-text access, searching, and early online releases of papers in the 11 journals published by the American Meteorological Society. Updated weekly.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02922|627|APA PsycINFO|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=psyh|0|This database contains more than one million citations and summaries of journal articles, book chapters, books, dissertations and technical reports, all in the field of psychology. It also includes information about the psychological aspects of related disciplines such as medicine, psychiatry, nursing, sociology, education, pharmacology, physiology, linguistics, anthropology, business and law. Journal coverage, which spans from 1887 to present, includes international material selected from more than 1,700 periodicals in over 35 languages.|30 June 2021 - Database title edited.  Jenny Kusmik|0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02924|627|Regional Business News|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=bwh|0|Regional Business News provides comprehensive full text for regional business publications (including titles from Crain Communications). This database has full text for more than 50 sources.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02926|627|APA PsycArticles|A|https://search.ebscohost.com/login.aspx?profile=ehost&groupid=main&authtype=ip,shib&custid=s3555202&defaultdb=pdh|0|PsycARTICLES, from the American Psychological Association (APA), is a definitive source of full-text, peer-reviewed scholarly and scientific articles in psychology. The database contains more than 140,000 articles from over 60 journals published by the APA, its imprint the Educational Publishing Foundation (EPF), and from allied organizations including the Canadian Psychological Association and the Hogrefe Publishing Group. It includes all journal articles, book reviews, letters to the editor, and errata from each journal. Coverage spans 1894 to present; nearly all APA journals go back to Volume 1, Issue 1. PsycARTICLES is indexed with controlled vocabulary from APAs Thesaurus of Psychological Index Terms.|30 June 2021 - Database title edited.  Jenny Kusmik|0|6/14/2022 14:54:06|6/14/2022 14:54:06
JHU02937|529|ASM Journals|A|http://journals.asm.org/search|1|The American Society for Microbiologys 11 journals cover the spectrum of microbiology, from molecular and cellular biology to biomedical research and technology.||0|6/14/2022 14:54:06|6/14/2022 14:54:06
