ID|vendor
501|AAMC
502|ABC-CLIO
503|Access.gpo
504|Accessible Archives
505|Adam Matthew
507|Afro-American Newspapers Archives and Researc
508|Agency for Healthcare Research and Quality (A
509|AHA/Health Forum
510|AIAA
511|Alexander Street
512|American Anthropological Association
513|American Association for the Advancement of S
514|American Association of Petroleum Geologists
515|American Ceramics Society (ACS)
516|American Chemical Society (ACM)
517|American Council of Learned Societies (ACLS)
518|American Economic Association (AEA)
519|American Hospital Association (AHA)
520|American Hospital Directory AHD
521|American Institute of Physics (AIP)
522|American Jewish Committee
523|American Mathematical Society (AMS)
524|American Medical Association (AMA)
525|American Meteorological Society (AMS)
526|American National Election Studies (ANES)
527|American Psychiatric Publishing
528|American Psychological Association (APA)
529|American Society for Microbiology (ASM)
530|American Statistical Association (ASA) & Inst
531|Andrew W. Mellon Foundation
532|Annual Reviews & Atypon
533|ArcGIS
534|ARTFL
535|Asempa Limited
536|Asian Development Bank (ADB)
537|ASM
538|ASM International
539|Association for Asian Studies
540|Association for Computing Machinery (ACM)
541|Association for Professionals in Infection Co
542|Association of Religion Data Archive (ARDA)
543|ASTM International Standards Worldwide
544|Aviation Week
545|BabelScores
546|Bar Ilan University
547|Bates
548|BCC Research LLC
549|Beacham Group, LLC
550|Begel House
551|Beijing Erudition Digital Technology Research
552|Berliner Philharmoniker
553|BibCnrs
554|Bibliographie der deutschen Sprach- und Liter
555|BioMed Central
556|BioOne
557|BIREME
558|Bizminer
561|Bloomberg
562|Bloomsbury Publishing, Inc.
563|Bodleian Libraries, University of Oxford
564|Brepols Publishers
565|Brigham Young University (BYU)
566|Brill
567|British Online Archives
568|Bureau of Labor Statistics
569|Cabell's
570|CABI
572|CAIRN
573|Cambridge Crystallographic Data Centre
574|Cambridge University Press
575|Royal Society of Chemistry
576|Canal Numerique des Savoirs
577|Cardiff University
578|Casalini Libri
579|Center for Disease Control and Prevention (CDC)
580|Center for Research Libraries (CRL)
581|Center for the History of Psychology at the U
582|Centre for Digital Philosophy
583|Centre for Evidence-Based Physiotherapy
584|CEPR
585|CET – The Center for Educational Technology
586|Chadwyck-Healey
587|Chinamaxx
588|Chinese University of Hong Kong Press
589|CitiStat
590|Clarivate
591|Classiques Garnier Numerique
592|CNKI
593|CNRS, INIST
594|Cold Spring Harbor Laboratory Press.
595|Columbia University
596|Commonwealth Business Media
597|Congressional Quarterly (CQ)
598|Consortium of European Research Libraries
599|Cornell Lab of Ornithology
600|Cornell School of Veterinary Medicine
601|Cornell University Library
602|Corpus Christi College, Stanford University L
603|Council for Library and Information Resources
604|Covidence
605|CQ
606|CQ Press
607|Crain Communications
608|Cyber Security Intelligence
609|Dacheng Data
610|Datanet India
611|De Gruyter
612|Defense Technical Information Center (DTIC)
613|Diction Police
614|Digizeitschriften
615|Diplomat
616|Dizhi Publishing Company
617|Docuseek
618|DRAM & Anthology of Recorded Music, Inc.
619|Duke University Libraries Digital Collections
620|Dustbooks
621|Duxiu
622|East View Geospatial
623|East View Information Services
624|East View Press / Center for Research Librari
625|East View
626|EastView Global Press Archive
627|EBSCO
628|Economist
629|Economist Intelligence Unit (EIU)
630|Editorial Projects in Education (EPE) :: Educ
631|Elsevier
632|EMBL-EBI
633|Emerald
634|Encyclopædia Britannica, Inc.
635|Encyclopaedia Iranica Foundation
636|Engineering Village
637|EPS China Data
638|Euromonitor International
639|European Patent Office (EPO)
640|Experian Marketing Solutions
641|Faculty Opinions
642|Federal Reserve Bank of St. Louis
643|Fedlaw
644|Financial Times
645|FirstHand
646|Fitch Ratings / Business Monitor Internationa
647|FIZ Karlsruhe
648|Foreign affairs (New York, N.Y.)
649|Foswiki
650|Foundation Center
651|Gale
652|Gale Group
653|Gale Group / InfoTrac
654|Gartner
655|General Internal Medicine at The Johns Hopkin
656|GeoScienceWorld
657|Getty Conservation Institute
658|Global Financial Data
659|Global Press Alliance / Eastview
660|Google
661|Google & US Patent and Trademark Office (USPT
662|Griffith Institute, Faculty of Oriental Studi
663|Harald Fischer Verlag
664|Harold B. Lee Library, Brigham Young Universi
665|HarpWeek
666|Harvard-Smithsonian Center for Astrophysics
667|HathiTrust
668|Hein
669|Hein Online (HeinOnline)
670|HeinOnline
671|Henry Stewart Talks, Ltd.
672|Herzogin Anna Amalia Bibliothek / Klassik Sti
673|HighWire Press
674|Historical Information Gatherers
675|HistoryMakers
